Customer ,Type,Branding,Status,"Number of 
Equipments",Number of doors
101052,Cooler,Energy,placed,1,"0,7"
106739,Cooler,Water,placed,1,2
106739,Cooler,Soft Drinks,placed,1,2
106739,Cooler,Energy,placed,1,"0,7"
100282,Cooler,Soft Drinks,placed,1,1
102677,Cooler,Water,placed,1,1
102677,Cooler,Soft Drinks,placed,1,2
102701,Cooler,Water,placed,1,2
104789,Cooler,Water,placed,1,"1,5"
104789,Cooler,Soft Drinks,placed,1,"1,5"
104773,Cooler,Water,placed,1,1
104773,Cooler,Soft Drinks,placed,1,2
104771,Cooler,Water,placed,1,"1,5"
104771,Cooler,Soft Drinks,placed,1,1
102691,Cooler,Water,placed,2,"2,5"
102691,Cooler,Soft Drinks,placed,2,3
104757,Cooler,Juice,placed,1,1
104764,Cooler,Water,placed,1,"1,5"
104764,Cooler,Soft Drinks,placed,1,2
104783,Cooler,Water,placed,1,"1,5"
104783,Cooler,Soft Drinks,placed,1,"1,5"
100687,Cooler,Water,placed,1,1
100687,Cooler,Soft Drinks,placed,1,2
101054,Cooler,Water,placed,2,3
101054,Cooler,Soft Drinks,placed,1,"1,5"
101054,Cooler,Energy,placed,1,"0,7"
104791,Cooler,Soft Drinks,placed,1,2
102726,Cooler,Soft Drinks,placed,1,"1,5"
103350,Cooler,Soft Drinks,placed,2,"3,5"
103350,Cooler,Energy,placed,1,"0,7"
103338,Cooler,Water,placed,1,"1,5"
103338,Cooler,Soft Drinks,placed,2,"3,5"
103338,Cooler,Energy,placed,1,"0,7"
100149,Cooler,Water,placed,1,"1,5"
100149,Cooler,Soft Drinks,placed,1,2
109287,Cooler,Soft Drinks,placed,1,1
110881,Cooler,Soft Drinks,placed,1,1
110129,Cooler,Water,placed,1,1
100299,Cooler,Water,placed,1,1
105641,Cooler,Soft Drinks,placed,4,"3,3"
100146,Cooler,Water,placed,1,"1,5"
100146,Cooler,Soft Drinks,placed,1,2
107243,Cooler,Soft Drinks,placed,1,2
107243,Cooler,Energy,placed,1,"0,7"
111328,Cooler,Soft Drinks,placed,2,2
100992,Cooler,Water,placed,2,4
100992,Cooler,Soft Drinks,placed,1,2
111955,Coffee,Coffee ,placed,2,0
105287,Cooler,Soft Drinks,placed,3,4
105287,Fountain,Soft Drinks,placed,1,0
105465,Cooler,Water,placed,2,"2,5"
105465,Cooler,Soft Drinks,placed,2,"2,3"
100507,Cooler,Water,placed,2,3
100507,Cooler,Soft Drinks,placed,3,"4,5"
100507,Cooler,Energy,placed,2,"1,4"
107839,Cooler,Soft Drinks,placed,1,1
100144,Cooler,Soft Drinks,placed,1,2
110492,Cooler,Soft Drinks,placed,1,1
110492,Cooler,Energy,placed,1,"0,7"
103377,Cooler,Water,placed,1,"1,5"
103377,Cooler,Soft Drinks,placed,1,2
103377,Cooler,Energy,placed,1,"0,7"
106477,Cooler,Soft Drinks,placed,1,"0,7"
100792,Cooler,Water,placed,1,1
100792,Cooler,Soft Drinks,placed,1,"1,5"
100792,Cooler,Energy,placed,1,"0,7"
100928,Cooler,Soft Drinks,placed,1,1
111892,Cooler,Water,placed,1,1
106487,Cooler,Energy,placed,1,"0,7"
108259,Cooler,Soft Drinks,placed,1,1
108259,Cooler,Juice,placed,1,1
103786,Cooler,Water,placed,1,1
103786,Cooler,Soft Drinks,placed,1,"1,5"
103785,Cooler,Soft Drinks,placed,1,2
105458,Cooler,Water,placed,1,1
104248,Cooler,Soft Drinks,placed,1,2
110823,Cooler,Soft Drinks,placed,1,1
101243,Cooler,Water,placed,1,1
101244,Cooler,Soft Drinks,placed,1,1
100994,Cooler,Water,placed,1,1
100994,Cooler,Juice,placed,1,1
100788,Cooler,Water,placed,1,1
111975,Cooler,Water,placed,1,"1,5"
111975,Cooler,Soft Drinks,placed,1,2
104109,Cooler,Water,placed,1,1
104109,Cooler,Soft Drinks,placed,1,2
104109,Dispenser,Water,placed,1,0
104082,Cooler,Water,placed,1,"1,5"
104082,Cooler,Soft Drinks,placed,1,2
107838,Cooler,Water,placed,1,1
107838,Cooler,Soft Drinks,placed,2,2
105200,Cooler,Energy,placed,1,"0,7"
105461,Cooler,Water,placed,1,"1,5"
106322,Cooler,Soft Drinks,placed,1,"0,7"
105772,Cooler,Soft Drinks,placed,1,1
105546,Cooler,Water,placed,2,3
109522,Cooler,Soft Drinks,placed,1,1
103412,Cooler,Water,placed,1,1
103412,Cooler,Soft Drinks,placed,1,2
105125,Cooler,Soft Drinks,placed,1,1
103784,Cooler,Water,placed,1,"1,5"
103784,Cooler,Soft Drinks,placed,1,"1,5"
105306,Cooler,Soft Drinks,placed,1,1
108352,Cooler,Water,placed,1,1
108352,Cooler,Soft Drinks,placed,1,1
108050,Cooler,Water,placed,3,3
108050,Cooler,Soft Drinks,placed,2,3
108050,Dispenser,Water,placed,1,0
108070,Cooler,Water,placed,1,1
108070,Cooler,Soft Drinks,placed,1,"1,5"
104508,Cooler,Water,placed,2,2
104508,Cooler,Soft Drinks,placed,2,"2,7"
104508,Cooler,Energy,placed,1,"0,7"
104508,Dispenser,Water,placed,1,0
100756,Cooler,Soft Drinks,placed,1,1
107121,Cooler,Water,placed,1,"1,5"
