Calendar day,Customer,BGN,CS
2.1.2025,103399,"8,34",3
2.1.2025,100140,"22,23",8
2.1.2025,103578,"8,34",3
2.1.2025,102519,"2,78",1
2.1.2025,101624,"8,34",3
2.1.2025,104212,"27,79",10
2.1.2025,103071,"5,56",2
2.1.2025,100769,"66,7",24
2.1.2025,101215,"66,7",24
2.1.2025,104452,"2,78",1
2.1.2025,101898,"5,56",2
2.1.2025,102071,"13,9",5
2.1.2025,104453,"11,12",4
2.1.2025,103580,"5,56",2
2.1.2025,103707,"25,01",9
2.1.2025,100393,"20,84","7,5"
2.1.2025,104467,"13,9",5
2.1.2025,104421,"11,12",4
2.1.2025,103135,"2,78",1
2.1.2025,101620,"15,98","5,75"
2.1.2025,102633,"12,51","4,5"
2.1.2025,101895,"8,34",3
2.1.2025,100387,"13,9",5
2.1.2025,101924,"5,56",2
2.1.2025,101923,"11,12",4
2.1.2025,100841,"19,45",7
2.1.2025,103235,"5,56",2
2.1.2025,104176,"13,9",5
2.1.2025,102388,"5,56",2
2.1.2025,103727,"8,34",3
2.1.2025,103732,"5,56",2
2.1.2025,103581,"13,9",5
2.1.2025,100408,"8,34",3
2.1.2025,103341,"2,78",1
2.1.2025,100806,"83,38",30
2.1.2025,103865,"245,97","88,5"
2.1.2025,104568,"8,34","3,001"
2.1.2025,103703,"22,23",8
2.1.2025,103534,"2,78",1
2.1.2025,100811,"11,12",4
2.1.2025,103691,"8,34",3
2.1.2025,103540,"122,29",44
2.1.2025,103202,"2,78",1
2.1.2025,100743,"8,34",3
2.1.2025,106676,"30,57",11
2.1.2025,104573,"13,9",5
2.1.2025,103704,"36,13",13
2.1.2025,103926,"25,01",9
2.1.2025,100745,"8,34",3
2.1.2025,103709,"5,56",2
2.1.2025,111922,"5,56",2
2.1.2025,100706,"8,34",3
2.1.2025,101560,"7,41","2,666"
2.1.2025,102858,"8,34",3
2.1.2025,103095,"2,78",1
2.1.2025,103138,"19,45",7
2.1.2025,101577,"2,78",1
2.1.2025,101918,"8,34",3
2.1.2025,102966,"23,62","8,499"
2.1.2025,103310,"5,56",2
2.1.2025,101957,"11,35","4,083"
2.1.2025,106294,"50,03",18
2.1.2025,101242,"8,34",3
2.1.2025,103530,"25,01",9
2.1.2025,102606,"13,9",5
2.1.2025,103348,"5,56",2
2.1.2025,103351,"2,78",1
2.1.2025,103368,"2,78",1
2.1.2025,102089,"36,13",13
2.1.2025,100271,"16,68",6
2.1.2025,102072,"72,26",26
2.1.2025,102846,"11,12",4
2.1.2025,103093,"8,34",3
2.1.2025,103528,"66,7",24
2.1.2025,101554,"2,78",1
2.1.2025,104891,"5,56",2
2.1.2025,103588,"19,45",7
2.1.2025,107201,"5,56",2
2.1.2025,102436,"5,56",2
2.1.2025,104766,"13,9",5
2.1.2025,102445,"40,3","14,5"
2.1.2025,104721,"7,41","2,666"
2.1.2025,112016,"2,78",1
2.1.2025,107281,"16,68",6
2.1.2025,102106,"16,68",6
2.1.2025,103275,"27,79",10
2.1.2025,103195,"2,78",1
2.1.2025,106650,"13,9",5
2.1.2025,107254,"8,34",3
2.1.2025,103220,"27,79",10
2.1.2025,103048,"5,56",2
2.1.2025,103104,"16,68",6
2.1.2025,102748,"8,34",3
2.1.2025,101536,"22,23",8
2.1.2025,104785,"16,68",6
2.1.2025,103082,"22,23",8
2.1.2025,106656,"11,12",4
2.1.2025,106635,"161,2",58
2.1.2025,101709,"5,56",2
2.1.2025,106894,"13,9",5
2.1.2025,103015,"11,12",4
2.1.2025,108884,"8,34",3
2.1.2025,103334,"11,12",4
2.1.2025,101634,"8,34",3
2.1.2025,101857,"11,12",4
2.1.2025,101609,"16,68","6,001"
2.1.2025,101646,"1,39","0,5"
2.1.2025,101631,"38,91",14
2.1.2025,101653,"52,81",19
2.1.2025,104855,"8,34",3
2.1.2025,104870,"31,5","11,333"
2.1.2025,101648,"8,34",3
2.1.2025,103330,"16,68",6
2.1.2025,102247,"16,68",6
2.1.2025,104419,"25,01",9
2.1.2025,102013,"8,34",3
2.1.2025,100040,"2,78",1
2.1.2025,101203,"33,35",12
2.1.2025,105852,"2,78",1
2.1.2025,103130,"30,57",11
2.1.2025,106209,"28,86","10,383"
2.1.2025,103759,"2,78",1
2.1.2025,103332,"11,12",4
2.1.2025,101969,"11,12",4
2.1.2025,103295,"13,9",5
2.1.2025,103299,"5,56",2
2.1.2025,101845,"8,34",3
2.1.2025,106948,"5,56",2
2.1.2025,101469,"2,78",1
2.1.2025,103290,"5,56",2
2.1.2025,101835,"2,78",1
2.1.2025,101651,"38,91",14
2.1.2025,106921,"13,9",5
2.1.2025,103250,"2,78",1
2.1.2025,107352,"11,12",4
2.1.2025,111827,"5,56",2
2.1.2025,101649,"38,91",14
2.1.2025,102006,"5,56",2
2.1.2025,102110,"13,9",5
2.1.2025,103128,"8,34",3
2.1.2025,101467,"22,23",8
2.1.2025,101444,"11,12",4
2.1.2025,100422,"5,56",2
2.1.2025,104543,"44,47",16
2.1.2025,100844,"13,9",5
2.1.2025,106235,"47,25",17
2.1.2025,101647,"8,34",3
2.1.2025,106653,"13,9",5
2.1.2025,101137,"19,45",7
2.1.2025,103333,"16,68",6
2.1.2025,101645,"26,4","9,5"
2.1.2025,104947,"16,68",6
2.1.2025,103258,"11,12",4
2.1.2025,101223,"52,81",19
2.1.2025,103262,"11,12",4
2.1.2025,103249,"16,68",6
2.1.2025,100404,"27,79",10
2.1.2025,101644,"36,13",13
2.1.2025,104845,"16,68",6
2.1.2025,101910,"2,78",1
2.1.2025,101726,"50,03",18
2.1.2025,107125,"13,9",5
2.1.2025,102574,"11,12",4
2.1.2025,100043,"8,34",3
2.1.2025,112095,"149,94","53,95"
2.1.2025,101211,"2,78",1
2.1.2025,105795,"5,56",2
2.1.2025,103175,"8,34",3
2.1.2025,102480,"26,86","9,666"
2.1.2025,101160,"13,9",5
2.1.2025,101906,"11,12",4
2.1.2025,102128,"19,45",7
2.1.2025,103111,"5,56",2
2.1.2025,102228,"19,45",7
2.1.2025,102570,"2,78",1
2.1.2025,104969,"8,34",3
2.1.2025,104547,"2,78",1
2.1.2025,101855,"11,12",4
2.1.2025,100913,"2,78",1
2.1.2025,103773,"8,34",3
2.1.2025,104892,"5,56",2
2.1.2025,100107,"5,56",2
2.1.2025,104527,"13,9",5
2.1.2025,103116,"47,25",17
2.1.2025,102999,"50,03",18
2.1.2025,105010,"19,45",7
2.1.2025,101738,"2,78",1
2.1.2025,101682,"2,78",1
2.1.2025,100890,"11,12",4
2.1.2025,100879,"2,8","1,008"
2.1.2025,104303,"0,93","0,334"
2.1.2025,101733,"16,68",6
2.1.2025,100213,"38,91",14
2.1.2025,112085,"33,35",12
2.1.2025,100721,"5,56",2
2.1.2025,103126,"13,9",5
2.1.2025,104291,"5,56",2
2.1.2025,104177,"69,02","24,833"
2.1.2025,110839,"5,56",2
2.1.2025,104188,"8,34",3
2.1.2025,103110,"2,78",1
2.1.2025,103303,"2,78",1
2.1.2025,103543,"2,78",1
2.1.2025,100877,"6,95","2,5"
2.1.2025,103297,"63,92",23
2.1.2025,101104,"8,34",3
2.1.2025,100882,"22,23",8
2.1.2025,103007,"44,47",16
2.1.2025,100406,"27,79",10
2.1.2025,100885,"19,45",7
2.1.2025,110479,"27,79",10
2.1.2025,109384,"11,12",4
2.1.2025,108017,"33,82","12,167"
2.1.2025,106630,"25,01",9
2.1.2025,107939,"2,78",1
2.1.2025,102377,"11,12",4
2.1.2025,111287,"11,12",4
2.1.2025,100101,"2,78",1
2.1.2025,105101,"33,35",12
2.1.2025,105975,"11,12",4
2.1.2025,108384,"22,23",8
2.1.2025,110205,"19,45",7
2.1.2025,106631,"30,81","11,084"
2.1.2025,103990,"16,68",6
2.1.2025,102685,"6,95","2,5"
2.1.2025,100669,"11,12",4
2.1.2025,102851,"33,35",12
2.1.2025,102979,"5,56",2
2.1.2025,106654,"61,14",22
2.1.2025,102412,"13,9",5
2.1.2025,102848,"36,13",13
2.1.2025,104775,"41,69",15
2.1.2025,102659,"27,79",10
2.1.2025,102637,"33,35",12
2.1.2025,104615,"16,68",6
2.1.2025,102889,"33,35",12
2.1.2025,102794,"1,39","0,5"
2.1.2025,102890,"38,08","13,7"
2.1.2025,104683,"16,68",6
