Customer,Customer Name,Region,City,Trade Channel,Segment,Seasonal,Тype
111913,ПАВИЛИОН РУМАДИ ЕООД,Варна,ВАРНА,Superette,Iron,Not Seasonal,Out of Home
106058,БЪРЗО ХРАНЕНЕ МЛАДОСТ ЕООД,Варна,ВАРНА,Fast-food,Iron,Not Seasonal,Out of Home
111851,ДА - РА 86 ЕООД ЕООД ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
111796,Бързо хранене ЕООД,Варна,ВАРНА,Bar,Iron,Not Seasonal,Out of Home
109627,СКАРА СТИБ ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
111706,СКАРА ФАМИЛИЯ ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
106059,АРТ ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
110726,ПАЛАЧИНКИ ОРИНДЖ ЕООД,Бургас,БУРГАС,Restaurant,Bronze,Not Seasonal,Out of Home
105764,KFC ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
107365,АСКОН ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
107844,ВЕСЕЛОТО СЕЛО ЕООД,Бургас,БУРГАС,Restaurant,Bronze,Not Seasonal,Out of Home
105481,СИНЬО ЛЯТО ЕООД,Бургас,РУСОКАСТРО,Cafe,Bronze,Not Seasonal,Out of Home
111443,Умани хотел ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Restaurant,Bronze,Not Seasonal,Out of Home
109637,ДЮНЕР ИНТЕР ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
106591,БУНГАЛА ДЪБРАВА ЕООД,Варна,ВАРНА,Cafe,Iron,Not Seasonal,Out of Home
110729,БЪРЗА ЗАКУСКА МАЛИНА ЕООД,Варна,ВАРНА,Restaurant,Gold,Seasonal,Out of Home
105202,ПИЦА НА ПАРЧЕ ЕООД,Бургас,ЗИДАРОВО,Cafe,Bronze,Not Seasonal,Out of Home
105119,ДЮНЕР ЧЕРНОМОРСКА ЕООД,Бургас,БУРГАС,Cafe,Iron,Not Seasonal,Out of Home
105117,ДЖУСИ БУРГЕР ЕООД,Бургас,КАМЕНО,Cafe,Iron,Not Seasonal,Out of Home
109274,БУРГЕР БАР ЕООД,Бургас,БУРГАС,Bar,Iron,Not Seasonal,Out of Home
105397,СВЕЖОТО ПИЛЕ ЕООД,Бургас,АЙТОС,Cafe,Iron,Not Seasonal,Out of Home
110891,БРЪНЧ ЕООД,Бургас,БУРГАС,Restaurant,Iron,Not Seasonal,Out of Home
105395,ТРИУМФ ГРИЛ ЕООД,Бургас,КАРНОБАТ,Cafe,Iron,Not Seasonal,Out of Home
109572,FOOD POINT ЕООД,Бургас,КАРНОБАТ,Fast-food,Iron,Not Seasonal,Out of Home
107363,TACOCAT ЕООД,Варна,ВАРНА,Restaurant,Silver,Seasonal,Out of Home
108220,КОФЕКАП ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
107447,GRILL HOUSE ЕООД,Бургас,БУРГАС,Restaurant,Bronze,Not Seasonal,Out of Home
105372,HUNTER GRILL ЕООД,Бургас,СЪДИЕВО,Cafe,Bronze,Not Seasonal,Out of Home
104851,ГО ГРИЛ ЕООД,Варна,ВАРНА,Cafe,Iron,Not Seasonal,Out of Home
104833,ДЮНЕР ЕООД,Варна,ВАРНА,Cafe,Iron,Not Seasonal,Out of Home
108229,БУРГЕРО ЕООД,Варна,ВАРНА,Restaurant,Silver,Seasonal,Out of Home
106481,БУЕНО ФУУДС ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
109854,2YOU ЕООД,Бургас,КАРНОБАТ,Cafe,Bronze,Not Seasonal,Out of Home
110859,Закуска Фистов ЕООД,Бургас,БУРГАС,Restaurant,Iron,Not Seasonal,Out of Home
105829,ЕКСПРЕС ФУДС ЕООД ЕООД,Варна,БЕЛОСЛАВ,Fast-food,Bronze,Not Seasonal,Out of Home
107286,БЕСТ БУРГЕР ЕООД,Бургас,БУРГАС,Supermarket,Iron,Seasonal,Out of Home
111080,СКАРА ЗА ДОМА ЕООД,Бургас,НЕСЕБЪР,Hotels,Gold,Seasonal,Out of Home
